config,n_blanks,seed,epoch,pass_at_1,pass_at_2,pass_at_4,pass_at_8,pass_at_16,pass_at_32,malformed_samples,train_seconds
qwen3_5_0_8b_blanks4_ep16,4,0,8,0.890625,0.9125504032258065,0.9361443270300334,0.9579907161803715,0.9679620707119558,0.96875,0,407.3211832046509
qwen3_5_0_8b_blanks4_ep16,4,0,10,0.8994140625,0.9172757056451614,0.9400540531145718,0.9595947776731981,0.9680336746949106,0.96875,0,407.3211832046509
qwen3_5_0_8b_blanks4_ep16,4,0,12,0.8984375,0.9157636088709677,0.9380605186318131,0.9574544811186219,0.967154577952959,0.96875,0,407.3211832046509
qwen3_5_0_8b_blanks4_ep16,4,0,14,0.8994140625,0.9167716733870969,0.9383542477753058,0.9571061328826902,0.96713009422708,0.96875,0,407.3211832046509
qwen3_5_0_8b_blanks4_ep16,4,0,16,0.89453125,0.9100932459677419,0.9322684927697441,0.9548456796725707,0.9670494221975034,0.96875,0,407.3211832046509
qwen3_5_0_8b_blanks8_ep16,8,0,2,0.16796875,0.25667842741935487,0.36004936040044494,0.4722388569207952,0.5832550617210286,0.6875,13,767.2216279506683
qwen3_5_0_8b_blanks8_ep16,8,0,4,0.416015625,0.5047253024193549,0.5939411846496105,0.6705697867050759,0.7162956244193062,0.75,22,767.2216279506683
qwen3_5_0_8b_blanks8_ep16,8,0,6,0.650390625,0.7852822580645162,0.8836276418242491,0.942111272734187,0.9648597063073376,0.96875,0,767.2216279506683
qwen3_5_0_8b_blanks8_ep16,8,0,8,0.765625,0.8274319556451613,0.871412680756396,0.8948249004116635,0.9052959999036069,0.90625,0,767.2216279506683
qwen3_5_0_8b_blanks8_ep16,8,0,10,0.8759765625,0.9001386088709677,0.909569660734149,0.9140615195658994,0.921875,0.9375,0,767.2216279506683
qwen3_5_0_8b_blanks8_ep16,8,0,12,0.849609375,0.876008064516129,0.887994473025584,0.8970143107726534,0.9046683815350389,0.90625,0,767.2216279506683
qwen3_5_0_8b_blanks8_ep16,8,0,14,0.8369140625,0.8754410282258065,0.8969193200778645,0.9047804986309574,0.9062372543566926,0.90625,0,767.2216279506683
qwen3_5_0_8b_blanks8_ep16,8,0,16,0.8408203125,0.8715347782258064,0.8908335650723026,0.9033365420267534,0.9062245087133852,0.90625,0,767.2216279506683
qwen3_5_0_8b_blanks16_ep16,16,0,2,0.0029296875,0.005859375,0.01171875,0.0234375,0.046875,0.09375,295,545.1540529727936
qwen3_5_0_8b_blanks16_ep16,16,0,4,0.166015625,0.2145287298387097,0.27357480533926587,0.3403769531435688,0.41021629642168156,0.5,3,545.1540529727936
qwen3_5_0_8b_blanks16_ep16,16,0,6,0.2978515625,0.43378276209677424,0.5683615475528366,0.6775773265404107,0.7629061654090896,0.84375,0,545.1540529727936
qwen3_5_0_8b_blanks16_ep16,16,0,8,0.462890625,0.557585685483871,0.6421214543937709,0.7033462720924484,0.7380695157514622,0.75,0,545.1540529727936
qwen3_5_0_8b_blanks16_ep16,16,0,10,0.4951171875,0.521358366935484,0.5439238042269188,0.5627576669946665,0.577443284406184,0.59375,32,545.1540529727936
qwen3_5_0_8b_blanks16_ep16,16,0,12,0.513671875,0.5522303427419355,0.5813707939377086,0.6023441882243329,0.6171623025852665,0.625,46,545.1540529727936
qwen3_5_0_8b_blanks16_ep16,16,0,14,0.5107421875,0.5415196572580645,0.5739441393214684,0.5972778692849605,0.6093229594360081,0.625,40,545.1540529727936
qwen3_5_0_8b_blanks16_ep16,16,0,16,0.5166015625,0.5435357862903226,0.5697598025583983,0.5961728665753971,0.6236443270300334,0.65625,42,545.1540529727936
qwen3_5_0_8b_blanks32_ep16,32,0,2,0.0,0.0,0.0,0.0,0.0,0.0,225,401.33423495292664
qwen3_5_0_8b_blanks32_ep16,32,0,4,0.0,0.0,0.0,0.0,0.0,0.0,35,401.33423495292664
qwen3_5_0_8b_blanks32_ep16,32,0,6,0.0078125,0.01524697580645161,0.029032258064516127,0.052620967741935476,0.08669354838709678,0.125,32,401.33423495292664
qwen3_5_0_8b_blanks32_ep16,32,0,8,0.0302734375,0.05834173387096775,0.10843558815350388,0.18808050611790877,0.28893214682981083,0.375,14,401.33423495292664
qwen3_5_0_8b_blanks32_ep16,32,0,10,0.10546875,0.1415070564516129,0.18039749026696328,0.2274422375764144,0.2895423424040668,0.375,44,401.33423495292664
qwen3_5_0_8b_blanks32_ep16,32,0,12,0.1181640625,0.16015625,0.2042225736929922,0.24004461866461313,0.26336035611226644,0.28125,69,401.33423495292664
qwen3_5_0_8b_blanks32_ep16,32,0,14,0.083984375,0.11082409274193548,0.13349728865406008,0.15891740466615328,0.18171231924360398,0.1875,135,401.33423495292664
qwen3_5_0_8b_blanks32_ep16,32,0,16,0.091796875,0.11189516129032258,0.13257525723025582,0.1619855127492085,0.19851918798665183,0.21875,111,401.33423495292664
qwen3_5_0_8b_natural_ep16,natural,0,2,0.0,0.0,0.0,0.0,0.0,0.0,344,406.3132424354553
qwen3_5_0_8b_natural_ep16,natural,0,4,0.0,0.0,0.0,0.0,0.0,0.0,89,406.3132424354553
qwen3_5_0_8b_natural_ep16,natural,0,6,0.0,0.0,0.0,0.0,0.0,0.0,6,406.3132424354553
qwen3_5_0_8b_natural_ep16,natural,0,8,0.0,0.0,0.0,0.0,0.0,0.0,16,406.3132424354553
qwen3_5_0_8b_natural_ep16,natural,0,10,0.0,0.0,0.0,0.0,0.0,0.0,145,406.3132424354553
qwen3_5_0_8b_natural_ep16,natural,0,12,0.0,0.0,0.0,0.0,0.0,0.0,436,406.3132424354553
qwen3_5_0_8b_natural_ep16,natural,0,14,0.0,0.0,0.0,0.0,0.0,0.0,516,406.3132424354553
qwen3_5_0_8b_natural_ep16,natural,0,16,0.0,0.0,0.0,0.0,0.0,0.0,538,406.3132424354553
