config,seed,study,kind,input,cell_policy,digit_policy,backtrack,n_eval,correct,wrong,timeouts,accuracy,model_calls_total,calls_per_solve,avg_resets,avg_puzzle_calls,seq_forwards_p50,seq_forwards_p90,unsound_rate,conflict_precision,conflict_recall,n_negations,unsound_negation_rate,conflict_depth_mean
s1_base_1k_mrv_argmax,range,S1,eval,base_1k,mrv,argmax,root,200,"[186, 193]","[0, 0]","[7, 14]","[0.93, 0.965]","[4017, 4602]","[20.8135, 24.7419]","[528.325, 646.67]","[142.905, 165.75]","[1238.5, 1498]","[28705.3, 35919.3]","[0.0453464, 0.0502773]","[0.997568, 0.998222]","[0.0667456, 0.0712463]",0,"[0, 0]","[0, 0]"
s1_base_1k_mrv_rankk,0,S1,eval,base_1k,mrv,rank_k,root,105,48,0,57,0.45714285714285713,8884,185.08333333333334,7985.438095238095,626.6857142857143,64000.0,64000.0,0.002944703777321497,0.9946533630859028,0.26944907533051604,0,0.0,0.0
s1_base_1k_mrv_rankk,1,S1,eval,base_1k,mrv,rank_k,root,101,45,0,56,0.44554455445544555,8283,184.06666666666666,7541.435643564357,627.9009900990098,64000.0,64000.0,0.004242463443108713,0.9944793451361127,0.24977840855131953,0,0.0,0.0
s1_base_1k_mrv_rankk,mean,S1,eval,base_1k,mrv,rank_k,root,105,46.5,0.0,56.5,0.45134370579915134,8583.5,184.575,7763.436869401226,627.2933521923621,64000.0,64000.0,0.003593583610215105,0.9945663541110077,0.2596137419409178,0,0.0,0.0
s1_base_1k_mrv_rankk,range,S1,eval,base_1k,mrv,rank_k,root,105,"[45, 48]","[0, 0]","[56, 57]","[0.445545, 0.457143]","[8283, 8884]","[184.067, 185.083]","[7541.44, 7985.44]","[626.686, 627.901]","[64000, 64000]","[64000, 64000]","[0.0029447, 0.00424246]","[0.994479, 0.994653]","[0.249778, 0.269449]",0,"[0, 0]","[0, 0]"
s1_base_1k_minent_softmax,0,S1,eval,base_1k,min_entropy,softmax,root,200,190,0,10,0.95,5150,27.105263157894736,883.74,193.425,4000.0,37260.299999999996,0.020376941033840554,0.996373367732591,0.09172148817277329,0,0.0,0.0
s1_base_1k_minent_softmax,1,S1,eval,base_1k,min_entropy,softmax,root,200,194,0,6,0.97,4039,20.81958762886598,578.8,138.495,2353.0,20009.59999999999,0.02513463564373468,0.9963718037318591,0.08380269819403514,0,0.0,0.0
s1_base_1k_minent_softmax,mean,S1,eval,base_1k,min_entropy,softmax,root,200,192.0,0.0,8.0,0.96,4594.5,23.962425393380357,731.27,165.96,3176.5,28634.949999999993,0.022755788338787615,0.996372585732225,0.08776209318340422,0,0.0,0.0
s1_base_1k_minent_softmax,range,S1,eval,base_1k,min_entropy,softmax,root,200,"[190, 194]","[0, 0]","[6, 10]","[0.95, 0.97]","[4039, 5150]","[20.8196, 27.1053]","[578.8, 883.74]","[138.495, 193.425]","[2353, 4000]","[20009.6, 37260.3]","[0.0203769, 0.0251346]","[0.996372, 0.996373]","[0.0838027, 0.0917215]",0,"[0, 0]","[0, 0]"
s1_base_1k_minent_argmax,0,S1,eval,base_1k,min_entropy,argmax,root,200,157,0,43,0.785,7830,49.87261146496815,728.58,298.485,2090.0,64000.0,0.04768584508332183,0.9982019819374675,0.04485516605052258,0,0.0,0.0
s1_base_1k_minent_argmax,1,S1,eval,base_1k,min_entropy,argmax,root,200,152,0,48,0.76,8655,56.94078947368421,795.425,329.125,2166.0,64000.0,0.05274467742158265,0.9988685294025207,0.04456583195536041,0,0.0,0.0
s1_base_1k_minent_argmax,mean,S1,eval,base_1k,min_entropy,argmax,root,200,154.5,0.0,45.5,0.7725,8242.5,53.40670046932618,762.0025,313.805,2128.0,64000.0,0.05021526125245224,0.998535255669994,0.044710499002941495,0,0.0,0.0
s1_base_1k_minent_argmax,range,S1,eval,base_1k,min_entropy,argmax,root,200,"[152, 157]","[0, 0]","[43, 48]","[0.76, 0.785]","[7830, 8655]","[49.8726, 56.9408]","[728.58, 795.425]","[298.485, 329.125]","[2090, 2166]","[64000, 64000]","[0.0476858, 0.0527447]","[0.998202, 0.998869]","[0.0445658, 0.0448552]",0,"[0, 0]","[0, 0]"
s1_base_1k_minent_rankk,0,S1,eval,base_1k,min_entropy,rank_k,root,97,41,0,56,0.422680412371134,8233,200.8048780487805,8814.309278350516,627.6701030927835,64000.0,64000.0,0.001673119310024985,0.9943507979059355,0.29175639368262324,0,0.0,0.0
s1_base_1k_minent_rankk,1,S1,eval,base_1k,min_entropy,rank_k,root,93,36,0,57,0.3870967741935484,8047,223.52777777777777,8527.344086021505,663.0752688172043,64000.0,64000.0,0.002095661293355016,0.9955550960036215,0.2587817442901331,0,0.0,0.0
s1_base_1k_minent_rankk,mean,S1,eval,base_1k,min_entropy,rank_k,root,97,38.5,0.0,56.5,0.40488859328234117,8140.0,212.16632791327913,8670.82668218601,645.3726859549939,64000.0,64000.0,0.0018843903016900006,0.9949529469547784,0.27526906898637815,0,0.0,0.0
