config,seed,study,num_layers,dim,n_loops,steps,supervise,softmax_loss_weight,conflict_loss_weight,bce_pos_mult,bce_neg_mult,approx_params,n_eval,correct,wrong,timeouts,accuracy,model_calls_total,calls_per_solve,avg_rounds_solved,avg_resets,unsound_rate,conflict_precision,conflict_recall,train_post_compile_secs
d1_shape16x64,mean,D1-C3,16,64,1,2000,all,0.2,0.1,4.0,0.5,65536,1000,60.0,0.3333333333333333,939.6666666666666,0.06,119956.33333333333,2935.07067853678,314.5656433105469,8518.5771484375,0.006097489062411576,0.9945481946150014,0.17222538752000238,304.7325217889999
d1_shape16x64,range,D1-C3,16,64,1,2000,all,0.2,0.1,4.0,0.5,65536,1000,"[22, 99]","[0, 1]","[901, 978]","[0.022, 0.099]","[116903, 123005]","[1180.84, 5591.14]",314.5656433105469,8518.5771484375,"[0.00489734, 0.00831135]","[0.989074, 0.999412]","[0.129331, 0.206713]","[226.695, 389.209]"
d1_shape32x44,0,D1-C3,32,44,1,2000,all,0.2,0.1,4.0,0.5,61952,1000,32,8,960,0.032,121575,3799.21875,249.52500915527344,8867.34375,0.008434270503845707,0.9949992027322265,0.17972490119646248,286.405757223
d1_shape32x44,1,D1-C3,32,44,1,2000,all,0.2,0.1,4.0,0.5,61952,1000,3,29,968,0.003,122919,40973.0,365.59375,7297.650390625,0.012618233056701051,0.991760399905343,0.1367926008188889,314.19360230200004
d1_shape32x44,2,D1-C3,32,44,1,2000,all,0.2,0.1,4.0,0.5,61952,1000,94,7,899,0.094,117188,1246.6808510638298,333.46533203125,7875.9423828125,0.008844706978568406,0.9970157230907902,0.1638353483582853,389.2354615009998
d1_shape32x44,mean,D1-C3,32,44,1,2000,all,0.2,0.1,4.0,0.5,61952,1000,43.0,14.666666666666666,942.3333333333334,0.043000000000000003,120560.66666666667,15339.63320035461,249.52500915527344,8867.34375,0.00996573684637172,0.9945917752427866,0.16011761679121223,329.94494034199994
d1_shape32x44,range,D1-C3,32,44,1,2000,all,0.2,0.1,4.0,0.5,61952,1000,"[3, 94]","[7, 29]","[899, 968]","[0.003, 0.094]","[117188, 122919]","[1246.68, 40973]",249.52500915527344,8867.34375,"[0.00843427, 0.0126182]","[0.99176, 0.997016]","[0.136793, 0.179725]","[286.406, 389.235]"
d1_untied8,0,D1-C4,8,128,1,16000,all,0.2,0.1,4.0,0.5,131072,1000,867,0,133,0.867,39455,45.50749711649365,206.21798706054688,2218.43408203125,0.0011194840728753746,0.9993681818917155,0.13377442022079727,1348.4774036649985
d1_untied8,1,D1-C4,8,128,1,16000,all,0.2,0.1,4.0,0.5,131072,1000,826,0,174,0.826,44883,54.33777239709443,217.6634521484375,2452.80908203125,0.0006285880325959289,0.998530367391886,0.12976802925782058,1439.2627437850015
d1_untied8,2,D1-C4,8,128,1,16000,all,0.2,0.1,4.0,0.5,131072,1000,880,37,83,0.88,33179,37.70340909090909,194.6444854736328,1784.276123046875,0.0013309833260554968,0.9997471011539557,0.12752438575582456,1364.730822337
d1_untied8,mean,D1-C4,8,128,1,16000,all,0.2,0.1,4.0,0.5,131072,1000,857.6666666666666,12.333333333333334,130.0,0.8576666666666667,39172.333333333336,45.849559534832395,206.21798706054688,2218.43408203125,0.0010263518105089334,0.9992152168125191,0.13035561174481414,1384.156989929
d1_untied8,range,D1-C4,8,128,1,16000,all,0.2,0.1,4.0,0.5,131072,1000,"[826, 880]","[0, 37]","[83, 174]","[0.826, 0.88]","[33179, 44883]","[37.7034, 54.3378]",206.21798706054688,2218.43408203125,"[0.000628588, 0.00133098]","[0.99853, 0.999747]","[0.127524, 0.133774]","[1348.48, 1439.26]"
d1_untied16,0,D1-C4,16,128,1,8000,all,0.2,0.1,4.0,0.5,262144,1000,956,1,43,0.956,23902,25.002092050209207,150.76174926757812,1554.112060546875,0.0007398986638998552,0.9990486682635221,0.1614744988617262,933.7021882249996
d1_untied16,1,D1-C4,16,128,1,8000,all,0.2,0.1,4.0,0.5,262144,1000,951,4,45,0.951,24346,25.60042060988433,153.06910705566406,1638.37109375,0.0007492491587078845,0.99891172928826,0.16764506948137012,889.0622081149995
d1_untied16,2,D1-C4,16,128,1,8000,all,0.2,0.1,4.0,0.5,262144,1000,994,0,6,0.994,11464,11.533199195171026,84.06136322021484,850.7310180664062,0.000510651878326956,0.9960128091698423,0.19090186031751402,761.8384657049996
d1_untied16,mean,D1-C4,16,128,1,8000,all,0.2,0.1,4.0,0.5,262144,1000,967.0,1.6666666666666667,31.333333333333332,0.967,19904.0,20.711903951754852,150.76174926757812,1554.112060546875,0.0006665999003115652,0.9979910689072081,0.17334047622020346,861.5342873483329
d1_untied16,range,D1-C4,16,128,1,8000,all,0.2,0.1,4.0,0.5,262144,1000,"[951, 994]","[0, 4]","[6, 45]","[0.951, 0.994]","[11464, 24346]","[11.5332, 25.6004]",150.76174926757812,1554.112060546875,"[0.000510652, 0.000749249]","[0.996013, 0.999049]","[0.161474, 0.190902]","[761.838, 933.702]"
d1_wide,0,D1-C4,4,256,1,8000,all,0.2,0.1,4.0,0.5,262144,1000,301,0,699,0.301,96683,321.2059800664452,232.8405303955078,5460.5732421875,0.002685226618630988,0.9982743150799017,0.13339539639851924,797.4393307040001
d1_wide,1,D1-C4,4,256,1,8000,all,0.2,0.1,4.0,0.5,262144,1000,354,0,646,0.354,92184,260.40677966101697,244.4717559814453,4679.572265625,0.00421884761592329,0.9994353413525966,0.11767174031222356,470.86493267899993
d1_wide,2,D1-C4,4,256,1,8000,all,0.2,0.1,4.0,0.5,262144,1000,280,0,720,0.28,97883,349.58214285714286,209.0500030517578,5230.33544921875,0.002677053269730964,0.9990612865953943,0.12496331977611223,857.1876544879996
d1_wide,mean,D1-C4,4,256,1,8000,all,0.2,0.1,4.0,0.5,262144,1000,311.6666666666667,0.0,688.3333333333334,0.3116666666666667,95583.33333333333,310.398300861535,232.8405303955078,5460.5732421875,0.0031937091680950807,0.9989236476759643,0.12534348549561836,708.4973059569999
