config,seed,study,input,effective_n_loops,eval_n_loops_flag,deduce_passes,threshold,cls_threshold,augment,n_eval,correct,wrong,timeouts,accuracy,total_calls,calls_per_solve,avg_resets,unsound_rate,conflict_precision,conflict_recall
o1_xfer_Lt1_Le16,1,O1-transfer,d1_L1,16,16,1,0.1,0.6,True,59,3,0,56,0.05084745762711865,7102,2367.3333333333335,60856.338983050846,0.08986762766572497,0.9999986075181211,0.9999986075181211
o1_xfer_Lt1_Le16,mean,O1-transfer,d1_L1,16,16,1,0.1,0.6,True,56,1.5,0.0,56.0,0.025423728813559324,7051.0,2367.3333333333335,62428.16949152542,0.09990738874943056,0.9999993037590605,0.9999993037590605
o1_xfer_Lt1_Le16,range,O1-transfer,d1_L1,16,16,1,0.1,0.6,True,56,"[0, 3]","[0, 0]","[56, 56]","[0, 0.0508475]","[7000, 7102]","[2367.33, 2367.33]","[60856.3, 64000]","[0.0898676, 0.109947]","[0.999999, 1]","[0.999999, 1]"
o1_xfer_Lt1_Le32,0,O1-transfer,d1_L1,32,32,1,0.1,0.6,True,56,0,0,56,0.0,7000,,64000.0,0.10996824860034152,1.0,1.0
o1_xfer_Lt1_Le32,1,O1-transfer,d1_L1,32,32,1,0.1,0.6,True,86,6,23,57,0.06976744186046512,8033,1338.8333333333333,45906.1976744186,0.0947767363300343,0.9999997468143549,0.9999653147609491
o1_xfer_Lt1_Le32,mean,O1-transfer,d1_L1,32,32,1,0.1,0.6,True,56,3.0,11.5,56.5,0.03488372093023256,7516.5,1338.8333333333333,54953.0988372093,0.10237249246518791,0.9999998734071774,0.9999826573804745
o1_xfer_Lt1_Le32,range,O1-transfer,d1_L1,32,32,1,0.1,0.6,True,56,"[0, 6]","[0, 23]","[56, 57]","[0, 0.0697674]","[7000, 8033]","[1338.83, 1338.83]","[45906.2, 64000]","[0.0947767, 0.109968]","[1, 1]","[0.999965, 1]"
o1_xfer_Lt2_Le1,0,O1-transfer,d1_L2,1,1,1,0.1,0.6,True,65,8,0,57,0.12307692307692308,8004,1000.5,5683.261538461538,0.006745377142411565,0.9971824581631576,0.1125951434004265
o1_xfer_Lt2_Le1,1,O1-transfer,d1_L2,1,1,1,0.1,0.6,True,64,7,0,57,0.109375,8000,1142.857142857143,6911.15625,0.004448578336163306,0.9897846618472153,0.13682070864099544
o1_xfer_Lt2_Le1,mean,O1-transfer,d1_L2,1,1,1,0.1,0.6,True,65,7.5,0.0,57.0,0.11622596153846154,8002.0,1071.6785714285716,6297.208894230769,0.0055969777392874355,0.9934835600051865,0.12470792602071097
o1_xfer_Lt2_Le1,range,O1-transfer,d1_L2,1,1,1,0.1,0.6,True,65,"[7, 8]","[0, 0]","[57, 57]","[0.109375, 0.123077]","[8000, 8004]","[1000.5, 1142.86]","[5683.26, 6911.16]","[0.00444858, 0.00674538]","[0.989785, 0.997182]","[0.112595, 0.136821]"
o1_xfer_Lt2_Le2,0,O1-transfer,d1_L2,2,2,1,0.1,0.6,True,97,41,0,56,0.422680412371134,8570,209.02439024390245,5001.938144329897,0.007213583438511472,0.9987910567029419,0.1391942558952073
o1_xfer_Lt2_Le2,1,O1-transfer,d1_L2,2,2,1,0.1,0.6,True,96,39,0,57,0.40625,8408,215.5897435897436,5372.645833333333,0.007719690657994176,0.9961197060042852,0.15510726245085735
o1_xfer_Lt2_Le2,mean,O1-transfer,d1_L2,2,2,1,0.1,0.6,True,97,40.0,0.0,56.5,0.41446520618556704,8489.0,212.30706691682303,5187.2919888316155,0.0074666370482528235,0.9974553813536136,0.14715075917303233
o1_xfer_Lt2_Le2,range,O1-transfer,d1_L2,2,2,1,0.1,0.6,True,97,"[39, 41]","[0, 0]","[56, 57]","[0.40625, 0.42268]","[8408, 8570]","[209.024, 215.59]","[5001.94, 5372.65]","[0.00721358, 0.00771969]","[0.99612, 0.998791]","[0.139194, 0.155107]"
o1_xfer_Lt2_Le4,0,O1-transfer,d1_L2,4,4,1,0.1,0.6,True,97,41,0,56,0.422680412371134,8072,196.8780487804878,9494.752577319588,0.0029256314051996526,0.9430944057840821,0.33140091240361086
o1_xfer_Lt2_Le4,1,O1-transfer,d1_L2,4,4,1,0.1,0.6,True,137,81,0,56,0.5912408759124088,9056,111.80246913580247,7397.5474452554745,0.006535234690223391,0.9519880716685375,0.32477221586616806
o1_xfer_Lt2_Le4,mean,O1-transfer,d1_L2,4,4,1,0.1,0.6,True,97,61.0,0.0,56.0,0.5069606441417714,8564.0,154.34025895814514,8446.150011287531,0.004730433047711521,0.9475412387263098,0.32808656413488946
o1_xfer_Lt2_Le4,range,O1-transfer,d1_L2,4,4,1,0.1,0.6,True,97,"[41, 81]","[0, 0]","[56, 56]","[0.42268, 0.591241]","[8072, 9056]","[111.802, 196.878]","[7397.55, 9494.75]","[0.00292563, 0.00653523]","[0.943094, 0.951988]","[0.324772, 0.331401]"
o1_xfer_Lt2_Le8,0,O1-transfer,d1_L2,8,8,1,0.1,0.6,True,81,25,0,56,0.30864197530864196,7907,316.28,18360.16049382716,0.004626295969723846,0.86253441378272,0.5418726783439343
o1_xfer_Lt2_Le8,1,O1-transfer,d1_L2,8,8,1,0.1,0.6,True,194,139,0,55,0.7164948453608248,9592,69.00719424460432,7882.29381443299,0.02215840634493047,0.9528395461320206,0.4467269927604404
o1_xfer_Lt2_Le8,mean,O1-transfer,d1_L2,8,8,1,0.1,0.6,True,81,82.0,0.0,55.5,0.5125684103347333,8749.5,192.64359712230214,13121.227154130074,0.013392351157327159,0.9076869799573704,0.49429983555218737
o1_xfer_Lt2_Le8,range,O1-transfer,d1_L2,8,8,1,0.1,0.6,True,81,"[25, 139]","[0, 0]","[55, 56]","[0.308642, 0.716495]","[7907, 9592]","[69.0072, 316.28]","[7882.29, 18360.2]","[0.0046263, 0.0221584]","[0.862534, 0.95284]","[0.446727, 0.541873]"
o1_xfer_Lt2_Le16,0,O1-transfer,d1_L2,16,16,1,0.1,0.6,True,198,114,30,54,0.5757575757575758,9381,82.28947368421052,11812.328282828283,0.02525565038629655,0.9742015303192854,0.5258826964509623
o1_xfer_Lt2_Le16,1,O1-transfer,d1_L2,16,16,1,0.1,0.6,True,200,153,3,44,0.765,8300,54.248366013071895,8836.19,0.08278071466929815,0.9968112734581424,0.5043207078345732
