config,train_orders,train_max_order,test_order,is_ood,seed,correct,wrong,timeout,calls,n,accuracy,calls_per_solve
e4_varied_all_cg_aug,"4,5,6,7,8",8,4,0,max,114,0,0,114,114,1.0,1.0
e4_varied_all_cg_aug,"4,5,6,7,8",8,5,0,0,29,0,0,29,29,1.0,1.0
e4_varied_all_cg_aug,"4,5,6,7,8",8,5,0,1,29,0,0,29,29,1.0,1.0
e4_varied_all_cg_aug,"4,5,6,7,8",8,5,0,2,29,0,0,29,29,1.0,1.0
e4_varied_all_cg_aug,"4,5,6,7,8",8,5,0,mean,87,0,0,87,87,1.0,1.0
e4_varied_all_cg_aug,"4,5,6,7,8",8,5,0,min,87,0,0,87,87,1.0,1.0
e4_varied_all_cg_aug,"4,5,6,7,8",8,5,0,max,87,0,0,87,87,1.0,1.0
e4_varied_all_cg_aug,"4,5,6,7,8",8,6,0,0,39,0,0,39,39,1.0,1.0
e4_varied_all_cg_aug,"4,5,6,7,8",8,6,0,1,39,0,0,39,39,1.0,1.0
e4_varied_all_cg_aug,"4,5,6,7,8",8,6,0,2,39,0,0,39,39,1.0,1.0
e4_varied_all_cg_aug,"4,5,6,7,8",8,6,0,mean,117,0,0,117,117,1.0,1.0
e4_varied_all_cg_aug,"4,5,6,7,8",8,6,0,min,117,0,0,117,117,1.0,1.0
e4_varied_all_cg_aug,"4,5,6,7,8",8,6,0,max,117,0,0,117,117,1.0,1.0
e4_varied_all_cg_aug,"4,5,6,7,8",8,7,0,0,55,2,0,58,57,0.964912,1.0545
e4_varied_all_cg_aug,"4,5,6,7,8",8,7,0,1,57,0,0,57,57,1.0,1.0
e4_varied_all_cg_aug,"4,5,6,7,8",8,7,0,2,56,1,0,58,57,0.982456,1.0357
e4_varied_all_cg_aug,"4,5,6,7,8",8,7,0,mean,168,3,0,173,171,0.982456,1.0298
e4_varied_all_cg_aug,"4,5,6,7,8",8,7,0,min,168,3,0,173,171,0.964912,1.0298
e4_varied_all_cg_aug,"4,5,6,7,8",8,7,0,max,168,3,0,173,171,1.0,1.0298
e4_varied_all_cg_aug,"4,5,6,7,8",8,8,0,0,36,1,0,37,37,0.972973,1.0278
e4_varied_all_cg_aug,"4,5,6,7,8",8,8,0,1,36,1,0,37,37,0.972973,1.0278
e4_varied_all_cg_aug,"4,5,6,7,8",8,8,0,2,37,0,0,38,37,1.0,1.027
e4_varied_all_cg_aug,"4,5,6,7,8",8,8,0,mean,109,2,0,112,111,0.981982,1.0275
e4_varied_all_cg_aug,"4,5,6,7,8",8,8,0,min,109,2,0,112,111,0.972973,1.0275
e4_varied_all_cg_aug,"4,5,6,7,8",8,8,0,max,109,2,0,112,111,1.0,1.0275
e4_varied_leq5_cg_off,"4,5",5,6,1,0,28,1,0,249,29,0.965517,8.8929
e4_varied_leq5_cg_off,"4,5",5,6,1,1,18,1,1,1067,20,0.9,59.2778
e4_varied_leq5_cg_off,"4,5",5,6,1,2,19,1,0,519,20,0.95,27.3158
e4_varied_leq5_cg_off,"4,5",5,6,1,mean,65,3,1,1835,69,0.938506,28.2308
e4_varied_leq5_cg_off,"4,5",5,6,1,min,65,3,1,1835,69,0.9,28.2308
e4_varied_leq5_cg_off,"4,5",5,6,1,max,65,3,1,1835,69,0.965517,28.2308
e4_varied_leq5_cg_off,"4,5",5,7,1,0,19,1,1,1094,21,0.904762,57.5789
e4_varied_leq5_cg_off,"4,5",5,7,1,1,11,1,2,2012,14,0.785714,182.9091
e4_varied_leq5_cg_off,"4,5",5,7,1,2,12,0,2,2012,14,0.857143,167.6667
e4_varied_leq5_cg_off,"4,5",5,7,1,mean,42,2,5,5118,49,0.849206,121.8571
e4_varied_leq5_cg_off,"4,5",5,7,1,min,42,2,5,5118,49,0.785714,121.8571
e4_varied_leq5_cg_off,"4,5",5,7,1,max,42,2,5,5118,49,0.904762,121.8571
e4_varied_leq5_cg_off,"4,5",5,8,1,0,20,7,7,7167,34,0.588235,358.35
e4_varied_leq5_cg_off,"4,5",5,8,1,1,16,4,7,7699,27,0.592593,481.1875
e4_varied_leq5_cg_off,"4,5",5,8,1,2,19,1,7,7113,27,0.703704,374.3684
e4_varied_leq5_cg_off,"4,5",5,8,1,mean,55,12,21,21979,88,0.628177,399.6182
e4_varied_leq5_cg_off,"4,5",5,8,1,min,55,12,21,21979,88,0.588235,399.6182
e4_varied_leq5_cg_off,"4,5",5,8,1,max,55,12,21,21979,88,0.703704,399.6182
e4_varied_leq5_cg_off,"4,5",5,9,1,0,8,6,21,23204,35,0.228571,2900.5
e4_varied_leq5_cg_off,"4,5",5,9,1,1,6,0,24,24324,30,0.2,4054.0
e4_varied_leq5_cg_off,"4,5",5,9,1,2,3,1,25,25283,29,0.103448,8427.6667
e4_varied_leq5_cg_off,"4,5",5,9,1,mean,17,7,70,72811,94,0.17734,4283.0
e4_varied_leq5_cg_off,"4,5",5,9,1,min,17,7,70,72811,94,0.103448,4283.0
e4_varied_leq5_cg_off,"4,5",5,9,1,max,17,7,70,72811,94,0.228571,4283.0
e4_varied_leq5_cg_off,"4,5",5,10,1,0,2,2,28,28455,32,0.0625,14227.5
e4_varied_leq5_cg_off,"4,5",5,10,1,1,1,0,22,22629,23,0.043478,22629.0
e4_varied_leq5_cg_off,"4,5",5,10,1,2,0,0,23,23000,23,0.0,0.0
e4_varied_leq5_cg_off,"4,5",5,10,1,mean,3,2,73,74084,78,0.035326,24694.6667
e4_varied_leq5_cg_off,"4,5",5,10,1,min,3,2,73,74084,78,0.0,24694.6667
e4_varied_leq5_cg_off,"4,5",5,10,1,max,3,2,73,74084,78,0.0625,24694.6667
e4_varied_leq5_cg_aug,"4,5",5,6,1,0,17,1,2,2279,20,0.85,134.0588
e4_varied_leq5_cg_aug,"4,5",5,6,1,1,16,2,1,1335,19,0.842105,83.4375
e4_varied_leq5_cg_aug,"4,5",5,6,1,2,15,2,2,2027,19,0.789474,135.1333
e4_varied_leq5_cg_aug,"4,5",5,6,1,mean,48,5,5,5641,58,0.827193,117.5208
e4_varied_leq5_cg_aug,"4,5",5,6,1,min,48,5,5,5641,58,0.789474,117.5208
e4_varied_leq5_cg_aug,"4,5",5,6,1,max,48,5,5,5641,58,0.85,117.5208
e4_varied_leq5_cg_aug,"4,5",5,7,1,0,11,0,3,3041,14,0.785714,276.4545
e4_varied_leq5_cg_aug,"4,5",5,7,1,1,13,0,1,1285,14,0.928571,98.8462
e4_varied_leq5_cg_aug,"4,5",5,7,1,2,10,0,4,4010,14,0.714286,401.0
e4_varied_leq5_cg_aug,"4,5",5,7,1,mean,34,0,8,8336,42,0.809524,245.1765
e4_varied_leq5_cg_aug,"4,5",5,7,1,min,34,0,8,8336,42,0.714286,245.1765
e4_varied_leq5_cg_aug,"4,5",5,7,1,max,34,0,8,8336,42,0.928571,245.1765
e4_varied_leq5_cg_aug,"4,5",5,8,1,0,13,1,11,11750,25,0.52,903.8462
e4_varied_leq5_cg_aug,"4,5",5,8,1,1,4,2,17,17970,23,0.173913,4492.5
e4_varied_leq5_cg_aug,"4,5",5,8,1,2,10,1,12,12376,23,0.434783,1237.6
e4_varied_leq5_cg_aug,"4,5",5,8,1,mean,27,4,40,42096,71,0.376232,1559.1111
e4_varied_leq5_cg_aug,"4,5",5,8,1,min,27,4,40,42096,71,0.173913,1559.1111
